site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
AT-Neu, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AU-Tum, 100.0, 5, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
BE-Bra, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
BE-Lon, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
BE-Vie,  90.0, 1,10.0, 7, 0.0, 0, 0.0, 0, 0.0, 0
CA-Gro,  50.0, 1,50.0, 7, 0.0, 0, 0.0, 0, 0.0, 0 
CZ-BK1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
DE-Gri, 100.0,13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
DE-Kli, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
DE-Tha, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
DK-Sor, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
DK-ZaH, 100.0,11, 0.0, 0, 0.0, 0, 0.0, 0. 0.0, 0
FI-Hyy, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
FR-Gri, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
FR-Pue,  80.0, 7, 20.0,1, 0.0, 0, 0.0, 0, 0.0, 0
IT-Lav, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
IT-Ren, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
IT-Ro2, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
NL-Loo, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
RU-Cok, 100.0,11, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
RU-Fyo, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
RU-Sam, 100.0, 12,0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-ARM, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Atq, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Blo, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ha1,  85.0, 7,15.0, 1, 0.0, 0, 0.0, 0, 0.0, 0
US-Los, 100.0,10, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ne1, 100,0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ne2, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ne3, 100.0,15, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Oho, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-SMR, 100.0,10, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Syv,  50.0, 1,50.0, 7, 0.0, 0, 0.0, 0, 0.0, 0
US-Ton,  40.0, 4,60.0,13, 0.0, 0, 0.0, 0, 0.0, 0
US-Var, 100.0,13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-WCr, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Wkg, 100.0,14, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
ZA-Kru,  30.0, 6,70.0,14, 0.0, 0, 0.0, 0, 0.0, 0 
